section_idx,section_name,category_idx,category_name,ids_json,description_json,stats_json,sources_json
0,Flag,0,Flag with color,"[""color_on_flag""]","[""Color must appear on the flag."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
0,Flag,1,Star in flag,"[""flag_has_star""]","[""Has/Does not have a star in the flag, including symbols of the sun.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design#Sun"",""name"":""Wikipedia - National Flags with a Sun""},{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design#Star"",""name"":""Wikipedia - National Flags with a Star""}]"
0,Flag,2,"Flag with only red, white, and blue","[""flag_rwb""]","[""Flag consists of only red, white, and blue."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
0,Flag,3,"Flag without red, white, or blue","[""flag_without_rwb""]","[""Flag does not consist of red, white, or blue."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
0,Flag,4,Flag has a coat of arms,"[""flag_has_coat_of_arms""]","[""The flag has a coat of arms, national emblem, or national seal."",""Even though the design of an emblem doesn't follow the rules of heraldry and so not containing a shield (escutcheon) in the center, we decided to include them in this category. Many unheraldic national emblems are colloquially called national coats of arms anyway, because they are used for the same purposes as national coats of arms.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design#Coat_of_arms"",""name"":""Wikipedia - Flags with coats of arms""},{""link"":""https://en.wikipedia.org/wiki/National_emblem"",""name"":""Wikipedia - National emblems""}]"
0,Flag,5,Flag has an animal,"[""flag_has_animal""]","[""Flag contains a depiction of an animal (including humans).""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_national_flags_by_design"",""name"":""Wikipedia - Flags with animals""}]"
0,Flag,6,Flag with only # colors,"[""flag_has_x_colors"",""flag_has_x_or_more_colors""]","[""Country with a flag consisting of only a specified number of colors."",""Accepted Colors: Only the following colors are recognized: black, white, grey, pink, red, orange, yellow, green, blue, light blue, purple, brown. Any other shades will be categorized under the closest matching color on this list."",""Shades Don't Count Separately: Different shades of the same color (e.g., dark red or pale yellow) do not count as separate colors. They will all be classified under the primary color (e.g., \""red\"" or \""yellow\"")."",""Exception for Blue: If a flag contains only one blue, it will be classified as \""blue.\"" If there are two blues, and one is significantly lighter, the colors will be classified as \""blue\"" and \""light blue.\"""",""Counting Colors: The total number of colors on the flag will only reflect these accepted colors, with no distinction made for minor shade variations (except for the exception mentioned with blue).""]",[],[]
1,Geography,0,Island nation,"[""island_nation""]","[""The country is entirely surrounded by water and does not share land borders with any other country, being composed of one or more islands."",""Exceptions:"",""Australia is not included as it is considered a continental country, while Greenland is regarded as the largest island."",""Even though the following countries de facto have a land border with another country, we include them in this category based on their geographical location, being situated on an island without mainland territory: Brunei, Dominican Republic, Haiti, Indonesia, Ireland, Papua New Guinea, Timor-Leste, Sint Maarten, Saint Martin.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_island_countries"",""name"":""Wikipedia - List of island countries""}]"
1,Geography,1,Landlocked,"[""landlocked""]","[""Does not border an ocean or a sea. The Caspian Sea is not considered a sea, so, for example, Turkmenistan is a landlocked country.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Landlocked_country#List_of_landlocked_countries_and_landlocked_de_facto_states"",""name"":""Wikipedia - List of landlocked countries""}]"
1,Geography,2,Coastline length,"[""coastline_length_over_x"",""coastline_length_under_x""]","[""Over or under specified length of coastline. Excludes overseas departments and landlocked countries. For countries where data is not available from our listed source, the World Resources Institute, we have used an alternative source, The World Factbook.""]","[""25th percentile: 72 km"",""50th percentile: 445 km"",""75th percentile: 2,400 km"",""Average: 3,800 km""]","[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_length_of_coastline"",""name"":""World Resources Institute""}]"
1,Geography,3,Coastline on the X,"[""coastline_on_x""]",[],[],[]
1,Geography,4,Is part of the X River system,"[""river_x_runs_through""]",[],[],[]
1,Geography,5,In X Continent,"[""continent""]",[],[],[]
1,Geography,6,Touches the Eurasian Steppe,"[""touches_eurasian_steppe""]","[""The country lies within or borders the Eurasian Steppe, a vast grassland region stretching from Eastern Europe to Central Asia.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Eurasian_Steppe"",""name"":""Wikipedia - Eurasian Steppe""}]"
1,Geography,7,Touches the Equator,"[""touches_equator""]","[""The country is situated on or crosses the Earth's equator, the imaginary line that divides the planet into the Northern and Southern Hemispheres.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Equator#Equatorial_countries_and_territories"",""name"":""Wikipedia - Equator""}]"
1,Geography,8,Touches the Sahara Desert,"[""touches_sahara""]","[""The country is located within or borders the Sahara Desert, the world's largest hot desert, spanning much of North Africa.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Sahara"",""name"":""Wikipedia - Sahara Desert""}]"
2,Economic,0,Human Development Index,"[""hdi_over_x"",""hdi_under_x""]","[""Over or under specified Human Development Index."",""The HDI is a summary measure of achievement in key dimensions: health, knowledge, and living standards."",""Data is retrieved from each country's Wikipedia page and updated on the 1st of each month. Wikipedia itself typically sources the underlying data from the United Nation’s Human Development Index Report. For data discrepancies with the UN report, please contact a Wikipedia editor about the country in question.""]",[],[]
2,Economic,1,GDP per capita,"[""gdp_per_capita_over_x"",""gdp_per_capita_under_x""]","[""Over or under specified GDP per capita."",""GDP measures economic output per person."",""The data was taken from the information box on each country's Wikipedia page. The data is retrieved from the Wikipedia pages every 1st of each month.""]",[],[]
2,Economic,2,Produces Nuclear power,"[""nuclear_power""]","[""The country generates electricity using nuclear reactors as part of its energy production.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Nuclear_power_by_country"",""name"":""Wikipedia - Nuclear power by country""}]"
2,Economic,3,Top 20 in wheat production,"[""top_20_wheat_production""]","[""The country is among the top 20 global producers of wheat, measured by annual yield.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_wheat_production"",""name"":""Wikipedia - List of countries by wheat production""}]"
2,Economic,4,Top 20 in oil production,"[""top_20_oil_production""]","[""The country is among the top 20 global producers of oil, based on annual crude oil and lease condensate production as compiled by the U.S. Energy Information Administration. This ranking reflects consistent full-year production figures, which avoid short-term distortions due to maintenance or seasonal factors.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_oil_production"",""name"":""Wikipedia - List of countries by oil production""}]"
2,Economic,5,Top 20 in domestic renewable energy share,"[""top_20_renewable_electricity_production""]","[""The country is among the top 20 producers of electricity from renewable sources, based on the percentage of renewable energy in domestic electricity production. This includes hydro, wind, biomass, solar, and geothermal energy.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_renewable_electricity_production"",""name"":""Wikipedia - List of countries by renewable electricity production""}]"
3,Name,0,Starts/Ends with letter,"[""starting_letter"",""ending_letter""]","[""Starts or ends with a specified letter.""]",[],[]
3,Name,1,Name is # letters long,"[""name_length"",""name_x_plus_letters_long""]","[""Name is a specified number of letters long.""]",[],[]
3,Name,2,Name is multiple words,"[""name_multiple_words""]","[""Name consists of multiple words.""]",[],[]
3,Name,3,Starts and ends with the same letter,"[""name_start_end_same_letter""]","[""The first and the last letters of the name are the same.""]",[],[]
4,Borders,0,Borders countries,"[""borders_x_to_y"",""borders_x_or_more""]","[""Borders a specified number of countries."",""For example, in the category \""Borders 4-5 countries\"" Ukraine would be an invalid answer, as it borders 7 countries. The correct answer must fall within the specified range for the category. So, Romania (borders 5 countries) or Czechia (borders 4 countries) would be valid answers. Does not include overseas departments as they are represented as separate entities in our games.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_and_territories_by_number_of_land_borders"",""name"":""Wikipedia - Countries and territories by number of land borders""}]"
4,Borders,1,Borders X Country,"[""borders_x""]",[],[],[]
5,Facts,0,Drives on the left,"[""drives_left""]","[""The country follows left-hand traffic rules, meaning vehicles drive on the left side of the road.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Left-_and_right-hand_traffic"",""name"":""Wikipedia - Left and right-hand traffic""}]"
5,Facts,1,Has 50+ skyscrapers,"[""50_plus_skyscrapers""]","[""Has 50 or more skyscrapers.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_with_the_most_skyscrapers"",""name"":""Wikipedia - Countries with the most skyscrapers""}]"
5,Facts,2,Top 20 in obesity rate,"[""top_20_obesity_rate""]","[""The country ranks among the top 20 in the world for the highest percentage of its population classified as obese, based on body mass index (BMI) data.""]",[],"[{""link"":""https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi-=-30-(crude-estimate)-(-)"",""name"":""WHO - Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%)""}]"
5,Facts,3,Alcohol prohibition,"[""alcohol_ban""]","[""The country enforces comprehensive bans on the production, storage, transportation, sale, possession, and consumption of alcoholic beverages.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_with_alcohol_prohibition"",""name"":""Wikipedia - Countries with alcohol prohibition""}]"
5,Facts,4,Top 20 in alcohol consumption,"[""top_20_alcohol_consumption""]","[""The country ranks among the top 20 globally for the highest per capita alcohol consumption, measured in equivalent liters of pure alcohol (ethanol) consumed per year. A standard drink is about 17 millilitres of ethanol, putting one litre at about 59 drinks.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_alcohol_consumption_per_capita"",""name"":""Wikipedia - Countries by alcohol consumption per capita""}]"
5,Facts,5,Top 20 in chocolate consumption,"[""top_20_chocolate_consumption""]","[""The country ranks among the top 20 globally for the highest per capita chocolate consumption, measured in kilograms per person per year.""]",[],"[{""link"":""https://worldpopulationreview.com/country-rankings/which-country-eats-the-most-chocolate"",""name"":""World Population Review - Chocolate consumption""}]"
5,Facts,6,Top 20 countries by rail transport network size,"[""top_20_rail_size""]","[""Top 20 in rail transport network size based on length of rail lines.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_rail_transport_network_size"",""name"":""Wikipedia - Countries by rail transport network size""}]"
5,Facts,7,Top/Bottom 20 in population density,"[""top_20_population_density"",""bottom_20_population_density""]","[""Top or Bottom 20 in population density, expressed as number of people per km².""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population_density"",""name"":""Wikipedia - Countries by population density""}]"
5,Facts,8,Top 20 in annual tourist arrivals,"[""top_20_tourism""]","[""Top 20 in annual tourist arrivals."",""The World Tourism rankings are compiled by the United Nations World Tourism Organization as part of their World Tourism Barometer publication, which is released up to six times per year.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/World_Tourism_rankings"",""name"":""Wikipedia - World Tourism rankings""}]"
5,Facts,9,Top 20 in number of World Heritage sites,"[""top_20_world_hertitage_sites""]","[""The country is among the top 20 globally for having the most UNESCO World Heritage sites, which are designated for their cultural, historical, or natural significance.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/World_Heritage_Sites_by_country"",""name"":""Wikipedia - World Heritage Sites by country""}]"
5,Facts,10,Air pollution μg/m³,"[""air_pollution_over_x"",""air_pollution_under_x""]","[""Over or under a specified concentration of PM2.5 (μg/m³)."",""It shows the average measured concentration of particulate matter (PM2.5) in micrograms per cubic meter (μg/m³).""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_air_pollution"",""name"":""Wikipedia - Countries by air pollution""}]"
5,Facts,11,CO₂ emissions per capita tCO₂/year,"[""co2_emissions_per_capita_over_x"",""co2_emissions_per_capita_under_x""]","[""Over or under a specified amount of Fossil tCO₂ emissions per capita."",""CO₂ emissions are measured in metric tons of carbon dioxide per year (tCO₂/year) and reflect the amount of carbon dioxide released into the atmosphere from fossil fuel combustion, industrial processes, and other human activities, indicating a country's environmental impact and contribution to global warming.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_by_carbon_dioxide_emissions_per_capita"",""name"":""Wikipedia - Countries by carbon dioxide emissions""}]"
5,Facts,12,Top 10 in number of lakes,"[""top_10_lakes""]","[""Top 10 countries by the overall number of lakes on their territory.""]",[],"[{""link"":""https://worldpopulationreview.com/country-rankings/what-country-has-the-most-lakes"",""name"":""World Population Review - Number of lakes""}]"
6,Sports,0,Olympic medal count,"[""olympic_medals_over_x"",""olympic_medals_under_x""]","[""Over or under specified Olympic medals across all Olympic games, both Summer and Winter.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/All-time_Olympic_Games_medal_table"",""name"":""Wikipedia - Olympic medal table""}]"
6,Sports,1,Has never won an Olympic medal,"[""no_olympic_medals""]","[""Has never won an Olympic medal.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/All-time_Olympic_Games_medal_table"",""name"":""Wikipedia - Olympic medal table""}]"
6,Sports,2,Has hosted the Olympics,"[""hosted_olympics""]","[""Has hosted the Summer or Winter Olympics.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_Olympic_Games_host_cities"",""name"":""Wikipedia - Olympic Games host cities""}]"
6,Sports,3,Has hosted the Men's FIFA World Cup,"[""hosted_world_cup""]","[""Has hosted the Men's FIFA World Cup.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/FIFA_World_Cup_hosts"",""name"":""Wikipedia - FIFA World Cup hosts""}]"
6,Sports,4,Has played in the Men's FIFA World Cup,"[""played_world_cup""]","[""Has played in the Men's FIFA World Cup.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/National_team_appearances_in_the_FIFA_World_Cup"",""name"":""Wikipedia - National team appearances in the FIFA World Cup""}]"
6,Sports,5,Has won the Men's FIFA World Cup,"[""won_world_cup""]","[""Has won the Men's FIFA World Cup.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals#Results"",""name"":""Wikipedia - List of FIFA World Cup finals""}]"
6,Sports,6,Has hosted a Formula 1 Grand Prix,"[""hosted_f1""]","[""Has hosted a Formula 1 Grand Prix""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_Formula_One_Grands_Prix#By_host_nation"",""name"":""Wikipedia - Formula One Grands Prix by host nation""}]"
7,Political,0,Member of the European Union,"[""in_eu""]","[""The country is part of the European Union (EU), a political and economic union of member states located primarily in Europe that share common policies and regulations.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Member_state_of_the_European_Union"",""name"":""Wikipedia - Member state of the European Union""}]"
7,Political,1,Member of the Commonwealth,"[""commonwealth_member""]","[""The country is part of the Commonwealth of Nations, a political association of member states, most of which were former territories of the British Empire, that cooperate on shared goals and values.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Member_states_of_the_Commonwealth_of_Nations"",""name"":""Wikipedia - Member states of the Commonwealth""}]"
7,Political,2,Was part of the USSR,"[""was_ussr""]","[""The country was formerly a part of the Union of Soviet Socialist Republics (USSR), a federal socialist state that existed from 1922 to 1991.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Post-Soviet_states"",""name"":""Wikipedia - Former Soviet Union countries""}]"
7,Political,3,Is a monarchy,"[""is_monarchy""]","[""The country is governed by a monarchy, where the head of state is a king, queen, or emperor, either ruling with full or limited constitutional powers.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Monarchy#Current_monarchies"",""name"":""Wikipedia - Monarchy""}]"
7,Political,4,Is a dependency/territory,"[""is_territory""]","[""The country or region is not fully sovereign and is governed or overseen by another country, often enjoying limited autonomy.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Dependent_territory"",""name"":""Wikipedia - Dependent territory""}]"
7,Political,5,Has nuclear weapons,"[""has_nuclear_weapons""]","[""The country possesses and maintains nuclear weapons as part of its military capabilities.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_states_with_nuclear_weapons"",""name"":""Wikipedia - States with nuclear weapons""}]"
7,Political,6,X is an official language,"[""official_language""]",[],[],[]
7,Political,7,Same-sex marriage legalised,"[""same_sex_marriage_legal""]","[""Same-sex marriage is legally performed and recognized.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Same-sex_marriage#Same-sex_marriage_around_the_world"",""name"":""Wikipedia - Legal status of same-sex marriage""}]"
7,Political,8,Same-sex activities are illegal,"[""same_sex_activities_illegal""]","[""Same-sex activities are classified as a criminal offense.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Criminalization_of_homosexuality#Current_status"",""name"":""Wikipedia - Criminalization of homosexuality""}]"
7,Political,9,Corruption Perceptions Index,"[""cpi_over_x"",""cpi_under_x""]","[""Over or under specified CPI."",""Corruption Perceptions Index (CPI) is an index that scores and ranks countries by their perceived levels of public sector corruption. The 2023 CPI, published in January 2024, currently ranks 180 countries \""on a scale from 100 (very clean) to 0 (highly corrupt)\"" based on the situation between 1 May 2022 and 30 April 2023.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Corruption_Perceptions_Index#2020%E2%80%932023"",""name"":""Wikipedia - Corruption Perceptions Index""}]"
7,Political,10,Has more than 1 time zone,"[""multiple_time_zones""]","[""The country spans across multiple time zones due to its large geographical area or territories, requiring different regions to operate on different local times.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/List_of_time_zones_by_country"",""name"":""Wikipedia - Time zones by country""}]"
7,Political,11,Observes X time zone,"[""observes_x_time_zone""]","[""Observe a specific UTC time zone when DST is not in effect.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Time_zone"",""name"":""Wikipedia - Time zones""}]"
7,Political,12,Observes Daylight Saving Time,"[""observes_dst""]","[""The country adjusts its clocks forward in the spring and back in the fall to make better use of daylight during the longer days of summer.""]",[],"[{""link"":""https://en.wikipedia.org/wiki/Daylight_saving_time"",""name"":""Wikipedia - Daylight Saving Time""}]"
8,Population,0,Population count,"[""population_over_x"",""population_under_x""]","[""Over or under specified population."",""The data for each country's population is taken from the information box of that country's Wikipedia page. The data is retrieved from the Wikipedia pages every 1st of each month.""]","[""25th percentile: 2,000,000"",""50th percentile: 8,000,000"",""75th percentile: 30,000,000"",""Average: 40,000,000""]","[{""link"":""https://wikipedia.org/"",""name"":""Wikipedia""}]"
8,Population,1,Capital city population,"[""capital_population_over_x"",""captial_population_under_x""]","[""Over or under specified population of capital city. Only the official capital area is considered."",""The data for each city's population is taken from the information box of that city's Wikipedia page. The data is retrieved from the Wikipedia pages every 1st of each month."",""Note on countries with multiple capitals:"",""For Capital city population, the category is true if the population of any of the official capitals matches the specified number.""]","[""25th percentile: 282,000"",""50th percentile: 1,134,000"",""75th percentile: 2,801,000"",""Average: 2,765,000""]","[{""link"":""https://wikipedia.org/"",""name"":""Wikipedia""}]"
8,Population,2,Capital is not the most populated city,"[""capital_not_most_populated_city""]","[""The capital city of the country is not the largest in terms of population, with another city having a higher population."",""For example, Australia's capital, Canberra, is not the most populated city, as Sydney holds that distinction."",""Note on countries with multiple capitals:"",""For Capital is not the most populated city, the category is true only if none of the official capitals are the most populated city. If any of the capitals are the most populated city, it is considered false.""]",[],[]
9,Size,0,Area km²,"[""size_over_x"",""size_under_x""]","[""Over or under specified area in km². Excludes overseas departments.""]","[""25th percentile: 22,000 km²"",""50th percentile: 115,000 km²"",""75th percentile: 524,000 km²"",""Average: 675,000 km²""]","[{""link"":""https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_area"",""name"":""Wikipedia - List of countries and dependencies by area""}]"
